Settlement Day,Settlement Period,BSUoS Price
17/01/2014,8,0.75862
17/01/2014,9,0.83502
17/01/2014,10,0.71987
17/01/2014,11,0.528
17/01/2014,12,0.56757
17/01/2014,13,1.26227
17/01/2014,14,1.57997
17/01/2014,15,1.80267
17/01/2014,16,1.3976
17/01/2014,17,1.29276
17/01/2014,18,1.07259
17/01/2014,19,1.20549
17/01/2014,20,1.28609
17/01/2014,21,0.97261
17/01/2014,22,0.93334
17/01/2014,23,1.09078
17/01/2014,24,1.06941
17/01/2014,25,1.06478
17/01/2014,26,1.19051
17/01/2014,27,1.08671
17/01/2014,28,0.91314
17/01/2014,29,1.09364
17/01/2014,30,0.84517
17/01/2014,31,0.73511
17/01/2014,32,0.99555
17/01/2014,33,1.0976
17/01/2014,34,1.91144
17/01/2014,35,1.83432
17/01/2014,36,1.52709
17/01/2014,37,1.51932
17/01/2014,38,0.98434
17/01/2014,39,1.69228
17/01/2014,40,1.72893
17/01/2014,41,1.62679
17/01/2014,42,1.51977
17/01/2014,43,1.65462
17/01/2014,44,1.22164
17/01/2014,45,1.3104
17/01/2014,46,1.83311
17/01/2014,47,1.83691
17/01/2014,48,1.76329
18/01/2014,1,2.33939
18/01/2014,2,2.61067
18/01/2014,3,2.76233
18/01/2014,4,1.98383
18/01/2014,5,1.54607
18/01/2014,6,1.44977
18/01/2014,7,1.29825
18/01/2014,8,0.79128
18/01/2014,9,1.10676
18/01/2014,10,1.36427
18/01/2014,11,1.10271
18/01/2014,12,1.12202
18/01/2014,13,1.39581
18/01/2014,14,0.73746
18/01/2014,15,1.22766
18/01/2014,16,1.57079
18/01/2014,17,1.48605
18/01/2014,18,1.41905
18/01/2014,19,1.26774
18/01/2014,20,1.45499
18/01/2014,21,0.93436
18/01/2014,22,0.9359
18/01/2014,23,1.07422
18/01/2014,24,1.21785
18/01/2014,25,1.13901
18/01/2014,26,1.09553
18/01/2014,27,1.11662
18/01/2014,28,0.64294
18/01/2014,29,0.69597
18/01/2014,30,0.40106
18/01/2014,31,0.48915
18/01/2014,32,0.35831
18/01/2014,33,0.33338
18/01/2014,34,0.9025
18/01/2014,35,1.06845
18/01/2014,36,1.04897
18/01/2014,37,1.16109
18/01/2014,38,1.13115
18/01/2014,39,1.1547
18/01/2014,40,1.05566
18/01/2014,41,1.16411
18/01/2014,42,1.6621
18/01/2014,43,1.54951
18/01/2014,44,1.51275
18/01/2014,45,1.52512
18/01/2014,46,1.92055
18/01/2014,47,2.22119
18/01/2014,48,2.40856
19/01/2014,1,2.07956
19/01/2014,2,2.55797
19/01/2014,3,2.83567
19/01/2014,4,2.30415
19/01/2014,5,1.87623
19/01/2014,6,1.61764
19/01/2014,7,1.69588
19/01/2014,8,1.63524
19/01/2014,9,1.45792
19/01/2014,10,1.68866
19/01/2014,11,1.54258
19/01/2014,12,1.70059
19/01/2014,13,1.76455
19/01/2014,14,1.72278
19/01/2014,15,1.76339
19/01/2014,16,1.95756
19/01/2014,17,2.57438
19/01/2014,18,3.34162
19/01/2014,19,2.91469
19/01/2014,20,2.1845
19/01/2014,21,1.73284
19/01/2014,22,1.60323
19/01/2014,23,1.5851
19/01/2014,24,1.2529
19/01/2014,25,1.52012
19/01/2014,26,1.83878
19/01/2014,27,1.72437
19/01/2014,28,0.95665
19/01/2014,29,1.13259
19/01/2014,30,1.09625
19/01/2014,31,1.14149
19/01/2014,32,0.77523
19/01/2014,33,1.19824
19/01/2014,34,2.38733
19/01/2014,35,2.63712
19/01/2014,36,2.55495
19/01/2014,37,2.84824
19/01/2014,38,2.16358
19/01/2014,39,2.31231
19/01/2014,40,1.78469
19/01/2014,41,1.71499
19/01/2014,42,1.02595
19/01/2014,43,2.07009
19/01/2014,44,1.13631
19/01/2014,45,0.943
19/01/2014,46,0.91924
19/01/2014,47,1.13713
19/01/2014,48,1.13708
20/01/2014,1,0.64931
20/01/2014,2,0.98688
20/01/2014,3,1.04678
20/01/2014,4,0.83146
20/01/2014,5,1.16057
20/01/2014,6,1.12094
20/01/2014,7,0.89782
20/01/2014,8,0.87076
20/01/2014,9,0.64548
20/01/2014,10,0.56115
20/01/2014,11,1.06116
20/01/2014,12,1.18109
20/01/2014,13,1.4075
20/01/2014,14,1.06627
20/01/2014,15,1.36559
20/01/2014,16,1.5528
20/01/2014,17,1.55116
20/01/2014,18,1.18134
20/01/2014,19,1.29941
20/01/2014,20,1.33426
20/01/2014,21,1.20608
20/01/2014,22,1.29825
20/01/2014,23,1.54191
20/01/2014,24,1.31358
20/01/2014,25,0.91632
20/01/2014,26,0.71703
20/01/2014,27,0.76877
20/01/2014,28,0.43147
20/01/2014,29,0.31809
20/01/2014,30,0.28752
20/01/2014,31,0.32756
20/01/2014,32,0.56417
20/01/2014,33,0.44535
20/01/2014,34,0.86928
20/01/2014,35,0.90562
20/01/2014,36,0.7675
20/01/2014,37,1.05756
20/01/2014,38,1.45621
20/01/2014,39,1.43592
20/01/2014,40,1.66278
20/01/2014,41,1.24955
20/01/2014,42,1.0659
20/01/2014,43,0.9041
20/01/2014,44,0.7756
20/01/2014,45,0.97496
20/01/2014,46,0.85741
20/01/2014,47,1.14188
20/01/2014,48,1.02061
21/01/2014,1,1.06917
21/01/2014,2,1.23623
21/01/2014,3,1.01187
21/01/2014,4,0.87428
21/01/2014,5,0.72778
21/01/2014,6,0.75873
21/01/2014,7,0.54438
21/01/2014,8,0.51236
21/01/2014,9,0.65048
21/01/2014,10,0.62612
21/01/2014,11,1.27545
21/01/2014,12,1.149
21/01/2014,13,1.00994
21/01/2014,14,1.24729
21/01/2014,15,1.18358
21/01/2014,16,1.46507
21/01/2014,17,1.44852
21/01/2014,18,1.1427
21/01/2014,19,1.42322
21/01/2014,20,1.54561
21/01/2014,21,1.49581
21/01/2014,22,1.62028
21/01/2014,23,1.7832
21/01/2014,24,1.81967
21/01/2014,25,1.69304
21/01/2014,26,1.67215
21/01/2014,27,2.28205
21/01/2014,28,1.75452
21/01/2014,29,1.90423
21/01/2014,30,1.43696
21/01/2014,31,1.34947
