Date,Period,BSUoS
16/01/2017,2,1.42972
16/01/2017,3,1.39981
16/01/2017,4,1.06694
16/01/2017,5,1.14486
16/01/2017,6,1.05395
16/01/2017,7,0.99906
16/01/2017,8,0.71589
16/01/2017,9,0.96112
16/01/2017,10,1.02024
16/01/2017,11,0.6464
16/01/2017,12,1.29947
16/01/2017,13,1.62929
16/01/2017,14,1.01435
16/01/2017,15,1.95044
16/01/2017,16,2.08798
16/01/2017,17,1.29919
16/01/2017,18,1.43012
16/01/2017,19,1.44724
16/01/2017,20,1.69049
16/01/2017,21,2.67717
16/01/2017,22,2.90674
16/01/2017,23,2.80098
16/01/2017,24,2.61893
16/01/2017,25,2.04774
16/01/2017,26,1.80311
16/01/2017,27,1.76928
16/01/2017,28,1.54837
16/01/2017,29,1.68756
16/01/2017,30,1.55833
16/01/2017,31,1.59785
16/01/2017,32,1.74148
16/01/2017,33,2.94673
16/01/2017,34,3.18139
16/01/2017,35,1.41295
16/01/2017,36,1.34451
16/01/2017,37,1.61241
16/01/2017,38,2.59029
16/01/2017,39,2.77196
16/01/2017,40,2.53807
16/01/2017,41,2.08
16/01/2017,42,2.01774
16/01/2017,43,1.45949
16/01/2017,44,1.22503
16/01/2017,45,1.34846
16/01/2017,46,1.09469
16/01/2017,47,0.88494
16/01/2017,48,1.2089
17/01/2017,1,0.87233
17/01/2017,2,1.12448
17/01/2017,3,1.07153
17/01/2017,4,1.03742
17/01/2017,5,0.8851
17/01/2017,6,0.85453
17/01/2017,7,1.18385
17/01/2017,8,0.82431
17/01/2017,9,1.16721
17/01/2017,10,1.14681
17/01/2017,11,0.99062
17/01/2017,12,1.10396
17/01/2017,13,1.40951
17/01/2017,14,1.07241
17/01/2017,15,1.65564
17/01/2017,16,1.59909
17/01/2017,17,1.84311
17/01/2017,18,1.76332
17/01/2017,19,1.65738
17/01/2017,20,1.57271
17/01/2017,21,1.63559
17/01/2017,22,1.60236
17/01/2017,23,1.49013
17/01/2017,24,1.47781
17/01/2017,25,1.48909
17/01/2017,26,1.49082
17/01/2017,27,1.46686
17/01/2017,28,1.09358
17/01/2017,29,1.14456
17/01/2017,30,0.93386
17/01/2017,31,0.90188
17/01/2017,32,1.17582
17/01/2017,33,4.03942
17/01/2017,34,4.01168
17/01/2017,35,1.62591
17/01/2017,36,1.66267
17/01/2017,37,2.20384
17/01/2017,38,2.22089
17/01/2017,39,2.29469
17/01/2017,40,2.26112
17/01/2017,41,1.57129
17/01/2017,42,1.31793
17/01/2017,43,1.11462
17/01/2017,44,1.04702
17/01/2017,45,0.90843
17/01/2017,46,1.08683
17/01/2017,47,0.79958
17/01/2017,48,0.75649
18/01/2017,1,1.1997
18/01/2017,2,1.10048
18/01/2017,3,0.91865
18/01/2017,4,0.74406
18/01/2017,5,0.72805
18/01/2017,6,0.73936
18/01/2017,7,0.68275
18/01/2017,8,0.72344
18/01/2017,9,0.53699
18/01/2017,10,0.77533
18/01/2017,11,0.63203
18/01/2017,12,0.86283
18/01/2017,13,1.25145
18/01/2017,14,1.12253
18/01/2017,15,1.49541
18/01/2017,16,1.64745
18/01/2017,17,1.5614
18/01/2017,18,1.39645
18/01/2017,19,1.5294
18/01/2017,20,1.44808
18/01/2017,21,1.42459
18/01/2017,22,1.23239
18/01/2017,23,1.27616
18/01/2017,24,1.13602
18/01/2017,25,1.14206
18/01/2017,26,0.85529
18/01/2017,27,0.77697
18/01/2017,28,0.52151
18/01/2017,29,0.64842
18/01/2017,30,0.76742
18/01/2017,31,0.93568
18/01/2017,32,1.31852
18/01/2017,33,1.16715
18/01/2017,34,1.50769
18/01/2017,35,2.13282
18/01/2017,36,2.00395
18/01/2017,37,1.39519
18/01/2017,38,1.28966
18/01/2017,39,1.9108
18/01/2017,40,1.77001
18/01/2017,41,1.68873
18/01/2017,42,1.54866
18/01/2017,43,1.37495
18/01/2017,44,1.25396
18/01/2017,45,1.12796
18/01/2017,46,1.06502
18/01/2017,47,0.97427
18/01/2017,48,0.91413
19/01/2017,1,0.85581
19/01/2017,2,0.84773
19/01/2017,3,0.88031
19/01/2017,4,0.83645
19/01/2017,5,1.03438
19/01/2017,6,1.11551
19/01/2017,7,0.92948
19/01/2017,8,0.96132
19/01/2017,9,0.8828
19/01/2017,10,0.81707
19/01/2017,11,1.20362
19/01/2017,12,1.33339
19/01/2017,13,1.26337
19/01/2017,14,1.5142
19/01/2017,15,2.47086
19/01/2017,16,2.12155
19/01/2017,17,2.19244
19/01/2017,18,1.60401
19/01/2017,19,1.84387
19/01/2017,20,1.78649
19/01/2017,21,1.27084
19/01/2017,22,1.22073
19/01/2017,23,1.21668
19/01/2017,24,0.97968
19/01/2017,25,0.91233
19/01/2017,26,0.8598
19/01/2017,27,0.81951
19/01/2017,28,0.4936
19/01/2017,29,0.74152
19/01/2017,30,0.96617
19/01/2017,31,1.00935
19/01/2017,32,1.41643
19/01/2017,33,2.23315
19/01/2017,34,2.42277
19/01/2017,35,1.88496
19/01/2017,36,1.85851
19/01/2017,37,1.73386
19/01/2017,38,1.96586
19/01/2017,39,2.04878
19/01/2017,40,1.74698
19/01/2017,41,2.0297
19/01/2017,42,1.63467
19/01/2017,43,1.4175
19/01/2017,44,1.20046
19/01/2017,45,1.18473
19/01/2017,46,0.83409
19/01/2017,47,0.80502
19/01/2017,48,1.29369
20/01/2017,1,0.97597
20/01/2017,2,0.90382
20/01/2017,3,0.99788
20/01/2017,4,0.95055
20/01/2017,5,0.9802
20/01/2017,6,1.00672
20/01/2017,7,0.92658
20/01/2017,8,0.97398
20/01/2017,9,0.8558
20/01/2017,10,0.91563
20/01/2017,11,1.01245
20/01/2017,12,1.29686
20/01/2017,13,1.8928
20/01/2017,14,1.8178
20/01/2017,15,2.3715
20/01/2017,16,2.48597
20/01/2017,17,2.44294
20/01/2017,18,1.9094
20/01/2017,19,1.68323
20/01/2017,20,1.4243
20/01/2017,21,1.22539
20/01/2017,22,1.08501
20/01/2017,23,1.07004
20/01/2017,24,0.99639
20/01/2017,25,0.91694
20/01/2017,26,0.86511
20/01/2017,27,0.78968
20/01/2017,28,0.62654
20/01/2017,29,0.66009
20/01/2017,30,1.10362
20/01/2017,31,1.40191
20/01/2017,32,1.44528
20/01/2017,33,1.70705
20/01/2017,34,1.94611
20/01/2017,35,1.58973
20/01/2017,36,1.71851
20/01/2017,37,2.05868
20/01/2017,38,1.73105
20/01/2017,39,1.81911
20/01/2017,40,2.01659
20/01/2017,41,2.49228
20/01/2017,42,1.50596
20/01/2017,43,1.03566
20/01/2017,44,1.00675
20/01/2017,45,0.59591
20/01/2017,46,0.52855
20/01/2017,47,0.6008
20/01/2017,48,0.65957
21/01/2017,1,0.89368
21/01/2017,2,1.1978
21/01/2017,3,1.03433
21/01/2017,4,0.78478
21/01/2017,5,0.7568
21/01/2017,6,0.85254
21/01/2017,7,0.82145
21/01/2017,8,0.80033
21/01/2017,9,0.63261
21/01/2017,10,0.62113
21/01/2017,11,0.59414
21/01/2017,12,0.96179
21/01/2017,13,0.91092
21/01/2017,14,0.79249
21/01/2017,15,1.15923
21/01/2017,16,1.43147
21/01/2017,17,1.72135
21/01/2017,18,1.99755
21/01/2017,19,2.51548
21/01/2017,20,2.64919
21/01/2017,21,2.3485
21/01/2017,22,2.23662
21/01/2017,23,1.99428
21/01/2017,24,2.18226
21/01/2017,25,2.12184
21/01/2017,26,2.38024
21/01/2017,27,2.46275
21/01/2017,28,2.73786
21/01/2017,29,3.28914
21/01/2017,30,3.26719
21/01/2017,31,2.41434
21/01/2017,32,1.38227
21/01/2017,33,2.0424
21/01/2017,34,2.65597
21/01/2017,35,2.70846
